wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_H_alpha,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
250.0,0.9212727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.5,0.9212054545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,0.9211381818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.5,0.9210909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.0,0.9210909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252.5,0.9210909090909092,0.0,0.0,0.0,0.0,0.0,0.02633748723186926,0.0,0.0,0.0
253.0,0.9210909090909092,0.0,0.0,0.0,0.0,0.0,0.026746067415730337,0.0,0.0,0.0
253.5,0.9210909090909092,0.0,0.0,0.0,0.0,0.0,0.02715464759959142,0.0,0.0,0.0
254.0,0.9210909090909092,0.0,0.0,0.0,0.0,0.0,0.027563227783452496,0.0,0.0,0.0
254.5,0.9211509090909091,0.0,0.0,0.0,0.0,0.0,0.027971807967313578,0.0,0.0,0.0
255.0,0.9212181818181819,0.0,0.0,0.0,0.0,0.0,0.028380388151174656,0.0,0.0,0.0
255.5,0.9212854545454546,0.0,0.0,0.0,0.0,0.0,0.028788968335035737,0.0,0.0,0.0
256.0,0.9213527272727273,0.0,0.0,0.0,0.0,0.0,0.029197548518896815,0.0,0.0,0.0
256.5,0.92142,0.0,0.0,0.0,0.0,0.0,0.029606128702757896,0.0,0.0,0.0
257.0,0.9214872727272728,0.0,0.0,0.0,0.0,0.0,0.030022058823529377,0.0,0.0,0.0
257.5,0.9215545454545455,0.0,0.0,0.0,0.0,0.0,0.030634803921568598,0.0,0.0,0.0
258.0,0.9216218181818183,0.0,0.0,0.0,0.0,0.0,0.03124754901960782,0.0,0.0,0.0
258.5,0.921689090909091,0.0,0.0,0.0,0.0,0.0,0.03186029411764704,0.0,0.0,0.0
259.0,0.9217563636363638,0.0,0.0,0.0,0.0,0.0,0.03247303921568626,0.0,0.0,0.0
259.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.03308578431372548,0.0,0.0,0.0
260.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.033698529411764704,0.0,0.0,0.0
260.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.034311274509803924,0.0,0.0,0.0
261.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.034924019607843144,0.0,0.0,0.0
261.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.035536764705882365,0.0,0.0,0.0
262.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.036174463738508696,0.0,0.0,0.0
262.5,0.9218636363636366,0.0,0.0,0.0,0.0,0.0,0.03688947906026559,0.0,0.0,0.0
263.0,0.9219309090909092,0.0,0.0,0.0,0.0,0.0,0.03760449438202248,0.0,0.0,0.0
263.5,0.9219981818181819,0.0,0.0,0.0,0.0,0.0,0.03831950970377936,0.0,0.0,0.0
264.0,0.9220654545454547,0.0,0.0,0.0,0.0,0.0,0.039034525025536254,0.0,0.0,0.0
264.5,0.9221327272727274,0.0,0.0,0.0,0.0,0.0,0.039749540347293146,0.0,0.0,0.0
265.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.04046455566905003,0.0,0.0,0.0
265.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.04117957099080692,0.0,0.0,0.0
266.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.04189458631256381,0.0,0.0,0.0
266.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.0426096016343207,0.0,0.0,0.0
267.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.043752486187845226,0.0,0.0,0.0
267.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.04540994475138115,0.0,0.0,0.0
268.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.04706740331491708,0.0,0.0,0.0
268.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.048724861878453006,0.0,0.0,0.0
269.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.05038232044198893,0.0,0.0,0.0
269.5,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.0520952380952381,0.0,0.0,0.0
270.0,0.9221818181818183,0.0,0.0,0.0,0.0,0.0,0.056063492063491996,0.0,0.0,0.0
270.5,0.9221509090909092,0.0,0.0,0.0,0.0,0.0,0.060031746031745895,0.0,0.0,0.0
271.0,0.9220836363636365,0.0,0.0,0.0,0.0,0.0,0.06636748329621352,0.0,0.0,0.0
271.5,0.9220163636363637,0.0,0.0,0.0,0.0,0.0,0.07671844660194188,0.0,0.0,0.0
272.0,0.921949090909091,0.0,0.0,0.0,0.0,0.0,0.08157281553398053,0.0,0.0,0.0
272.5,0.9218818181818184,0.0,0.0,0.0,0.0,0.0,0.08642718446601919,0.0,0.0,0.0
273.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.09522377622377624,0.0,0.0,0.0
273.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.10513317757009387,0.0,0.0,0.0
274.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.11594685990338137,0.0,0.0,0.0
274.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.12222705314009653,0.0,0.0,0.0
275.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.12973291925465846,0.0,0.0,0.0
275.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.14859016393442626,0.0,0.0,0.0
276.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.15473770491803282,0.0,0.0,0.0
276.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.1612083916083917,0.0,0.0,0.0
277.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.16960000000000036,0.0,0.0,0.0
277.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.18086956521739192,0.0,0.0,0.0
278.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.1888195876288661,0.0,0.0,0.0
278.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.19526288659793803,0.0,0.0,0.0
279.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.20366666666666625,0.0,0.0,0.0
279.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.21385737840065938,0.0,0.0,0.0
280.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.21921599340478154,0.0,0.0,0.0
280.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.2245746084089037,0.0,0.0,0.0
281.0,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.23118894601542428,0.0,0.0,0.0
281.5,0.921818181818182,0.0,0.0,0.0,0.0,0.0,0.23824128312412832,0.0,0.0,0.0
