wavelength_nm,surface_EOL_req,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
350.0,0.0,0.0,0.13393188169655432,0.0,0.0,0.0
355.0,0.0,0.0,0.17098414264025716,0.0,0.0,0.0
360.0,0.0,0.0,0.21715936918184175,0.0,0.0,0.0
365.0,0.0,0.0,0.2714529990324181,0.0,0.0,0.0
370.0,0.0,0.0,0.33072340979586784,0.0,0.0,0.0
375.0,0.0,0.0,0.39392136021935,0.0,0.0,0.0
380.0,0.0,0.0,0.4597019632868291,0.0,0.0,0.0
385.0,0.0,0.0,0.5203429408511275,0.0,0.0,0.0
390.0,0.0,0.0,0.5738610798165849,0.0,0.0,0.0
395.0,0.0,0.0,0.6203373583918507,0.0,0.0,0.0
400.0,0.65,0.0,0.65904679570464,0.65,0.0,0.0
405.0,0.65,0.0,0.6917756814481301,0.65,0.0,0.0
410.0,0.65,0.0,0.7214743525837485,0.65,0.0,0.0
415.0,0.65,0.0,0.7532934402367396,0.65,0.0,0.0
420.0,0.65,0.0,0.7862387698807916,0.65,0.0,0.0
425.0,0.65,0.0,0.8163692668715463,0.65,0.0,0.0
430.0,0.65,0.0,0.8388970029091002,0.65,0.0,0.0
435.0,0.65,0.0,0.8572085237507333,0.65,0.0,0.0
440.0,0.65,0.0,0.8744268194674928,0.65,0.0,0.0
445.0,0.65,0.0,0.8881196475835692,0.65,0.0,0.0
450.0,0.65,0.0,0.8981815858244692,0.65,0.0,0.0
455.0,0.65,0.0,0.9075001618734296,0.65,0.0,0.0
460.0,0.65,0.0,0.9178073130971255,0.65,0.0,0.0
465.0,0.65,0.0,0.9216574465486516,0.65,0.0,0.0
470.0,0.65,0.0,0.9171506443140637,0.65,0.0,0.0
475.0,0.65,0.0,0.9171378044216576,0.65,0.0,0.0
480.0,0.65,0.0,0.9295517792540732,0.65,0.0,0.0
485.0,0.65,0.0,0.9397866602262254,0.65,0.0,0.0
490.0,0.65,0.0,0.9381163543430999,0.65,0.0,0.0
495.0,0.65,0.0,0.9325915320677318,0.65,0.0,0.0
500.0,0.65,0.0,0.9227965284321192,0.65,0.0,0.0
505.0,0.65,0.0,0.9150155536339414,0.65,0.0,0.0
510.0,0.65,0.0,0.9113747780070178,0.65,0.0,0.0
515.0,0.65,0.0,0.9062310978009717,0.65,0.0,0.0
520.0,0.65,0.0,0.8946624898997171,0.65,0.0,0.0
525.0,0.65,0.0,0.8836165138896684,0.65,0.0,0.0
530.0,0.65,0.0,0.873414302237744,0.65,0.0,0.0
535.0,0.65,0.000214,0.8635881160062875,0.65,0.00018480785682534553,0.0001201251069364746
540.0,0.65,0.007248,0.8521362642394399,0.65,0.006176283643207461,0.00401458436808485
545.0,0.65,0.07358,0.8396108816187781,0.65,0.0617785686695097,0.040156069635181306
550.0,0.65,0.2521,0.8274694986675523,0.65,0.20860506061408993,0.13559328939915846
555.0,0.65,0.5024,0.8171829105798151,0.65,0.41055269427529906,0.2668592512789444
560.0,0.65,0.6667,0.8031544109908331,0.65,0.5354630458075884,0.3480509797749325
565.0,0.65,0.7771,0.7928054577114085,0.65,0.6160891211875356,0.4004579287718981
570.0,0.65,0.855,0.7788561986012761,0.65,0.6659220498040911,0.4328493323726592
575.0,0.65,0.8697,0.7667596876950913,0.65,0.6668509003884209,0.43345308525247356
580.0,0.65,0.9179,0.7518682121796477,0.65,0.6901398319596986,0.44859089077380415
585.0,0.65,0.928,0.7404535478305061,0.65,0.6871408923867097,0.44664158005136134
590.0,0.65,0.932,0.7247613650397445,0.65,0.675477592217042,0.43906043494107727
595.0,0.65,0.952,0.7135356305360089,0.65,0.6792859202702805,0.4415358481756823
600.0,0.65,0.9236,0.6962764981689646,0.65,0.6430809737088558,0.41800263291075623
605.0,0.65,0.9142,0.6820530059883878,0.65,0.6235328580745841,0.4052963577484797
610.0,0.65,0.9469,0.6612038976288875,0.65,0.6260939706647936,0.4069610809321158
615.0,0.65,0.9672,0.6491362330373716,0.65,0.6278445645937457,0.40809896698593473
620.0,0.65,0.968,0.6358946354258569,0.65,0.6155460070922295,0.4001049046099492
625.0,0.65,0.958,0.6284603377226475,0.65,0.6020650035382963,0.3913422522998926
630.0,0.65,0.9486,0.6167013325597119,0.65,0.5850028840661428,0.3802518746429928
635.0,0.65,0.9592,0.605950519610136,0.65,0.5812277384100425,0.3777980299665276
640.0,0.65,0.9709,0.5819300543668403,0.65,0.5649958897847652,0.36724732836009744
645.0,0.65,0.9694,0.5701378778728463,0.65,0.5526916588099372,0.3592495782264592
650.0,0.65,0.9724,0.5559791450894578,0.65,0.5406341206849887,0.3514121784452427
655.0,0.65,0.9756,0.5477029172984687,0.65,0.534338966116386,0.3473203279756509
660.0,0.65,0.9672,0.530825158698053,0.65,0.5134140934927569,0.333719160770292
665.0,0.65,0.9636,0.5205306735937836,0.65,0.5015833570749698,0.3260291820987304
670.0,0.65,0.9714,0.503152854281445,0.65,0.48876268264899564,0.31769574372184717
675.0,0.65,0.9763,0.48905579159782425,0.65,0.47746516933695576,0.3103523600690213
680.0,0.65,0.9706,0.47677902018712076,0.65,0.4627617169936194,0.30079511604585263
685.0,0.65,0.9287,0.4642747992537928,0.65,0.43117200606699735,0.28026180394354827
690.0,0.65,0.7408,0.4477205094014695,0.65,0.3316713533646086,0.21558637968699562
695.0,0.65,0.4185,0.43969808670172844,0.65,0.18401364928467334,0.11960887203503767
700.0,0.65,0.1843,0.4277346858981729,0.65,0.07883150261103326,0.051240476697171626
705.0,0.65,0.0753,0.4182162709222885,0.65,0.03149168520044833,0.020469595380291417
710.0,0.65,0.03143,0.3998607275924054,0.65,0.0125676226682293,0.008168954734349046
715.0,0.65,0.01382,0.3862834585079851,0.65,0.005338437396580355,0.003469984307777231
720.0,0.65,0.0065,0.3683332889240707,0.65,0.0023941663780064596,0.0015562081457041988
725.0,0.65,0.00325,0.35967823603682475,0.65,0.0011689542671196804,0.0007598202736277922
730.0,0.65,0.001755,0.3509763802936501,0.65,0.000615963547415356,0.0004003763058199814
735.0,0.65,0.001007,0.341431880062667,0.65,0.0003438219032231057,0.0002234842370950187
740.0,0.65,0.0,0.32388158141368906,0.65,0.0,0.0
745.0,0.65,0.0,0.31487347975554425,0.65,0.0,0.0
750.0,0.65,0.0,0.3075088843253973,0.65,0.0,0.0
755.0,0.65,0.0,0.30019887291905845,0.65,0.0,0.0
760.0,0.65,0.0,0.2857211508688381,0.65,0.0,0.0
765.0,0.65,0.0,0.27563660283243757,0.65,0.0,0.0
770.0,0.65,0.0,0.26505653148970093,0.65,0.0,0.0
775.0,0.65,0.0,0.2592675742848333,0.65,0.0,0.0
780.0,0.65,0.0,0.2537574261722153,0.65,0.0,0.0
785.0,0.65,0.0,0.24745182258989493,0.65,0.0,0.0
790.0,0.65,0.0,0.23890045424734332,0.65,0.0,0.0
795.0,0.65,0.0,0.23088407498568178,0.65,0.0,0.0
800.0,0.65,0.0,0.22012424514925788,0.65,0.0,0.0
805.0,0.65,0.0,0.21417020361345282,0.65,0.0,0.0
810.0,0.65,0.0,0.21022652237439532,0.65,0.0,0.0
815.0,0.65,0.0,0.2076531183145529,0.65,0.0,0.0
820.0,0.65,0.0,0.20318558877342996,0.65,0.0,0.0
825.0,0.65,0.0,0.1887123655125789,0.65,0.0,0.0
830.0,0.65,0.0,0.17148673271444442,0.65,0.0,0.0
835.0,0.65,0.0,0.17097313701819497,0.65,0.0,0.0
840.0,0.65,0.0,0.1809295564440573,0.65,0.0,0.0
845.0,0.65,0.0,0.17987707142892378,0.65,0.0,0.0
850.0,0.65,0.0,0.16713603654016387,0.65,0.0,0.0
855.0,0.65,0.0,0.15230026491884377,0.65,0.0,0.0
860.0,0.65,0.0,0.13896878806048552,0.65,0.0,0.0
865.0,0.65,0.0,0.1350141011993655,0.65,0.0,0.0
870.0,0.65,0.0,0.13830111365536132,0.65,0.0,0.0
875.0,0.65,0.0,0.1376146138440777,0.65,0.0,0.0
880.0,0.65,0.0,0.13402081484606282,0.65,0.0,0.0
885.0,0.65,0.0,0.12406901005822307,0.65,0.0,0.0
890.0,0.65,0.0,0.10788891135602478,0.65,0.0,0.0
895.0,0.65,0.0,0.09831218589131824,0.65,0.0,0.0
900.0,0.65,0.0,0.09665950831160151,0.65,0.0,0.0
905.0,0.65,0.0,0.09671453642191397,0.65,0.0,0.0
910.0,0.65,0.0,0.09642195619231432,0.65,0.0,0.0
