# Digitized throughput of Sony IMX-993 sensor
# Note that it has to be scaled by 0.75 as this is the 'relative QE'
# Source:
# - https://www.sony-semicon.com/files/62/flyer_industry/IMX990_991_992_993_Flyer_en.pdf
wavelength,throughput
390,0.00
400,0.62
420,0.70
440,0.82
460,0.87
480,0.90
500,0.89
520,0.87
540,0.85
560,0.83
580,0.78
600,0.77
620,0.76
640,0.77
660,0.78
680,0.79
700,0.80
720,0.81
740,0.82
760,0.84
780,0.86
800,0.88
820,0.90
840,0.92
860,0.94
880,0.95
900,0.96
920,0.97
940,0.98
960,0.99
980,1.00
1000,0.99
1020,0.98
1040,0.97
1060,0.96
1080,0.95
1100,0.95
1120,0.96
1140,0.97
1160,0.98
1180,0.99
1200,0.99
1220,1.00
1240,1.00
1260,1.00
1280,1.00
1300,0.99
1320,0.98
1340,0.97
1360,0.96
1380,0.95
1400,0.94
1420,0.93
1440,0.92
1460,0.90
1480,0.88
1500,0.85
1520,0.82
1540,0.79
1560,0.75
1580,0.72
1600,0.68
1620,0.63
1640,0.58
1660,0.52
1680,0.46
1700,0.38
1720,0.28
1740,0.16
1760,0.08
1780,0.03
1800,0.00
