Wavelength,imx_u,imx_g,imx_r,imx_i,imx_z,hwk_u,hwk_g,hwk_r,hwk_i,hwk_z,imx_bb,hwk_bb
300,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
310,5.75987E-06,0,0,0,0,6.54201E-05,0,0,0,0,0,0
315,1.02663E-05,0,0,0,0,0.000119403,0,0,0,0,0,0
320,4.01146E-05,0,0,0,0,0.000502744,0,0,0,0,0,0
325,4.75565E-05,0,0,0,0,0.000615678,0,0,0,0,0,0
330,0.000279739,0,0,0,0,0.003422078,0,0,0,0,0,0
335,0.003057624,0,0,0,0,0.031239091,0,0,0,0,0,0
340,0.011175699,0,0,0,0,0.089540903,0,0,0,0,0.000124223,0.000995289
345,0.023840297,0,0,0,0,0.149480594,0,0,0,0,0.000277013,0.001736896
350,0.038279629,0,0,0,0,0.188430884,0,0,0,0,0.000447791,0.002204242
355,0.054600769,0,0,0,0,0.212543076,0,0,0,0,0.000517898,0.002016009
360,0.072171148,0,0,0,0,0.22292229,0,0,0,0,0.000529768,0.001636347
365,0.090796137,0,0,0,0,0.225740085,0,0,0,0,0.000561896,0.001397004
370,0.111180347,0,0,0,0,0.22947187,0,0,0,0,0.000691331,0.001426879
375,0.135043772,0,0,0,0,0.241732132,0,0,0,0,0.000837628,0.001499377
380,0.170028492,0,0,0,0,0.269972318,0,0,0,0,0.000958528,0.001521957
385,0.215845264,0,0,0,0,0.306091169,0,0,0,0,0.001297131,0.001839468
390,0.261164318,0,0,0,0,0.339287265,0,0,0,0,0.001689549,0.00219495
395,0.053715495,0.005790877,0,0,0,0.066441211,0.007162792,0,0,0,0.00209356,0.002589544
400,0.000478076,0.1583903,0,0,0,0.000573928,0.190146808,0,0,0,0.00251047,0.003013807
405,0,0.365517275,0,0,0,0,0.425402934,0,0,0,0.00289605,0.003370533
410,0,0.394293389,0,0,0,0,0.446265698,0,0,0,0.003320612,0.003758307
415,0,0.427876973,0,0,0,0,0.467066835,0,0,0,0.003769468,0.004114718
420,0,0.451549337,0,0,0,0,0.474013223,0,0,0,0.023474398,0.024642213
425,0,0.484450493,0,0,0,0,0.491517284,0,0,0,0.085846062,0.087098318
430,0,0.497842479,0,0,0,0,0.492943165,0,0,0,0.249577871,0.247121752
435,0,0.510361133,0,0,0,0,0.496975856,0,0,0,0.424537138,0.413402773
440,0,0.53522481,0,0,0,0,0.513425517,0,0,0,0.502488743,0.482022765
