Wavelength,hwk_z
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0
600,0.0
605,0.0
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.00030346
815,0.000804157
820,0.002336665
825,0.008151055
830,0.034822903
835,0.138367685
840,0.243790013
845,0.250637164
850,0.24577342
855,0.246656861
860,0.241350804
865,0.23747197
870,0.231943964
875,0.226762985
880,0.221403887
885,0.215366924
890,0.208031667
895,0.201576771
900,0.194070392
905,0.186229053
910,0.177061315
915,0.173881384
920,0.166744457
925,0.157755213
930,0.147984612
935,0.14018373
940,0.133166089
945,0.129032486
950,0.124724863
955,0.116204469
960,0.107975411
965,0.10014975
970,0.092587405
975,0.084351692
980,0.075767856
985,0.068442726
990,0.06249583
995,0.059039664
1000,0.054859103
1005,0.049097855
1010,0.041398702
1015,0.034038246
1020,0.028006996
1025,0.023457001
1030,0.020148475
1035,0.017355134
1040,0.014714751
1045,0.012410794
1050,0.009793568
1055,0.007882406
1060,0.006485887
1065,0.005297481
1070,0.004589311
1075,0.003890437
1080,0.003185616
1085,0.002491829
1090,0.002085909
1095,0.002086339
1100,0.001560423
