Wavelength,imx_bb
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.000124223
345,0.000277013
350,0.000447791
355,0.000517898
360,0.000529768
365,0.000561896
370,0.000691331
375,0.000837628
380,0.000958528
385,0.001297131
390,0.001689549
395,0.00209356
400,0.00251047
405,0.00289605
410,0.003320612
415,0.003769468
420,0.023474398
425,0.085846062
430,0.249577871
435,0.424537138
440,0.502488743
445,0.533298573
450,0.537698885
455,0.553104233
460,0.554785913
465,0.564637283
470,0.562045496
475,0.565929134
480,0.584637586
485,0.590212537
490,0.588266126
495,0.583768766
500,0.578758198
505,0.577145712
510,0.576546094
515,0.573742856
520,0.572973599
525,0.567164097
530,0.562732303
535,0.558585111
540,0.55497403
545,0.539063278
550,0.533647243
555,0.531700503
560,0.522126545
565,0.514086851
570,0.510810739
575,0.504041382
580,0.4895441
585,0.480280341
590,0.470804985
595,0.465069771
600,0.455215252
605,0.445035376
610,0.426810965
615,0.41634325
620,0.408993926
625,0.40648491
630,0.40104728
635,0.393989701
640,0.378199938
645,0.372861166
650,0.362650102
655,0.358966942
660,0.345276422
665,0.340701967
670,0.330186429
675,0.319428314
680,0.311436056
685,0.300785587
690,0.291881082
695,0.28555602
700,0.275518456
705,0.268957582
710,0.2551556
715,0.247789218
720,0.235117077
725,0.230258394
730,0.223111092
735,0.217719797
740,0.206291262
745,0.200667367
750,0.193987235
755,0.189438363
760,0.179421817
765,0.172275556
770,0.165526461
775,0.160637763
780,0.156689729
785,0.153579909
790,0.148721624
795,0.144874879
800,0.139393989
805,0.136289402
810,0.133243827
815,0.131868838
820,0.128250884
825,0.118598237
830,0.107088962
835,0.106396798
840,0.111775715
845,0.111781316
850,0.104721806
855,0.096720165
860,0.086828974
865,0.084102089
870,0.085361641
875,0.081829835
880,0.069983749
885,0.049492918
890,0.027032413
895,0.011943698
900,0.004802245
905,0.002109855
910,0.001012294
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
