Wavelength,imx_z
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0
600,0.0
605,0.0
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.000141597
815,0.000376692
820,0.001089289
825,0.003600679
830,0.014233158
835,0.057141792
840,0.108150295
845,0.114179449
850,0.106532354
855,0.09831996
860,0.088727119
865,0.086784073
870,0.088974241
875,0.08863708
880,0.086646377
885,0.081019409
890,0.070659214
895,0.064655738
900,0.063553637
905,0.063434825
910,0.062613032
915,0.058968455
920,0.05320971
925,0.049524224
930,0.047102437
935,0.045817638
940,0.044579338
945,0.041747446
950,0.038024945
955,0.034813109
960,0.032215599
965,0.02950818
970,0.026835545
975,0.026220618
980,0.026208295
985,0.023941799
990,0.020519546
995,0.017064135
1000,0.013613649
1005,0.01298518
1010,0.012271684
1015,0.011653218
1020,0.010948492
1025,0.010280728
1030,0.009629191
1035,0.008949853
1040,0.008273483
1045,0.007568311
1050,0.006889863
1055,0.006204606
1060,0.005525234
1065,0.004832109
1070,0.004139003
1075,0.003454199
1080,0.002764038
1085,0.002083025
1090,0.001390606
1095,0.000695446
1100,0.0
